total games = 1000
initial weights =  [0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45]
initial mu =  0.01
every 250 games mu change 0.2

[0.34359842783724326, 0.34359842783724326, 0.41426433025719117, 0.41644733864209266, 0.39653335226687514, 0.4344660639916959, 0.44311713065172803, 0.44066653700518255, 0.45]
[0.13427138917418033, 0.13427138917418033, 0.34249048837201984, 0.3128094581860512, 0.29681459734334525, 0.40192850943397956, 0.4370062650070138, 0.4134869265322087, 0.4186856471155337]
[0.13396851442676622, 0.13396851442676622, 0.3435558806886514, 0.3148282064811589, 0.2967136390942072, 0.40290382386068785, 0.43593178685574996, 0.4123016027677204, 0.4186856471155337]
[0.04415441199845083, 0.04415441199845083, 0.3265029576640779, 0.2765990506378347, 0.2669882646876796, 0.3928683559086943, 0.42843899433305555, 0.40793453945987773, 0.3921372281976938]
[0.04896209283717514, 0.04896209283717514, 0.32922405287229234, 0.27932014584604914, 0.2685908249672544, 0.39447091618826907, 0.43004155461263033, 0.40793453945987773, 0.3921372281976938]
[0.06709422047954434, 0.06709422047954434, 0.32922405287229234, 0.2916519923649307, 0.2685908249672544, 0.3951156463425546, 0.43039538161864244, 0.41215144565337974, 0.3936105375456361]
[0.03816115758723335, 0.03816115758723335, 0.3270698996180901, 0.2812636347811499, 0.2625284224187136, 0.39789342517251325, 0.4267995397724097, 0.40809307973966025, 0.37803793553200954]
[0.04966667631542417, 0.04966667631542417, 0.3277229788918763, 0.2901781303816434, 0.2631815016924998, 0.39789342517251325, 0.4299816334080205, 0.40874615901344646, 0.3793228001121345]
[0.057640172847166764, 0.057640172847166764, 0.331169860684745, 0.294058269151891, 0.26563944480932916, 0.3997107600883758, 0.43079860890161814, 0.40957455525326975, 0.38031173878817376]
[0.05705605778032315, 0.05705605778032315, 0.33199146190986395, 0.2963593423535196, 0.26470513953319014, 0.3999706546652205, 0.43208316588065687, 0.4070119368537347, 0.3787888643335424]
[-0.02709307741468187, -0.02709307741468187, 0.30478691590705, 0.24454391244666107, 0.2242552174897725, 0.38820219115843735, 0.4147016705884591, 0.3928558238938399, 0.35886562825946233]
[-0.0030665014490446124, -0.0030665014490446124, 0.31314035375860977, 0.2512008493128095, 0.2345447502465697, 0.39530467000474107, 0.41022239659265874, 0.3936480690119686, 0.35886562825946233]
[-0.07448518991992475, -0.07448518991992475, 0.29163024717097424, 0.2047549835046358, 0.19917866717687627, 0.38386897534615416, 0.3994111956136534, 0.3781570605770585, 0.3572766941688226]
[-0.04853211670930763, -0.04853211670930763, 0.29163024717097424, 0.2255818777395763, 0.19917866717687627, 0.38899515432183074, 0.3994111956136534, 0.38680808498059754, 0.3572766941688226]
