total games = 1000
initial weights =  [0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45]
initial mu =  0.01
every 250 games mu change 0.3

[0.00751820428020439, 0.00751820428020439, 0.25346256475498685, 0.23771519032260152, 0.323246169690127, 0.3003797976858713, 0.4203992419716875, 0.4022369065472936, 0.4251641684150152]
[-0.08064248073994262, -0.08064248073994262, 0.2308486469384752, 0.18818108973345113, 0.31109802763172095, 0.2544382678387912, 0.39836074022598156, 0.39494652545159054, 0.40955065367473675]
[-0.06829333285135004, -0.06829333285135004, 0.234007160518729, 0.1862795135939149, 0.31109802763172095, 0.26271863415774693, 0.3971906169222643, 0.3905860207863521, 0.4001888208835984]
[-0.0629071561378696, -0.0629071561378696, 0.234007160518729, 0.18414834988161247, 0.31082870492818054, 0.26441320388695994, 0.39806167739414483, 0.3918759224491806, 0.3983161281551971]
[-0.040406385148957134, -0.040406385148957134, 0.234007160518729, 0.18465378869878793, 0.31471524739610646, 0.2791102450061049, 0.4027632986157037, 0.3975614418264778, 0.4006639211019024]
[-0.16615237517175102, -0.16615237517175102, 0.19769358457758246, 0.12585002907385137, 0.29912091893770776, 0.2210271395011107, 0.3794341091992618, 0.3368915392844071, 0.3803124291626992]
[-0.13236323727435292, -0.13236323727435292, 0.19964137820051403, 0.13112431599392205, 0.29912091893770776, 0.2495419904784381, 0.38679664391063323, 0.3421658262044778, 0.3803124291626992]
[-0.08050543413723944, -0.08050543413723944, 0.19964137820051403, 0.14299691028493008, 0.29912091893770776, 0.2859760283574843, 0.38679664391063323, 0.3496715620020398, 0.38141653835008504]
[-0.036106854268245454, -0.036106854268245454, 0.2002917707463428, 0.14551084251567367, 0.3052862785440783, 0.3177254695903588, 0.38679664391063323, 0.3504182237811097, 0.3873241325294364]
[0.0016331202499281976, 0.0016331202499281976, 0.21505311701162622, 0.16072581141185238, 0.3167169680657774, 0.3314956799097933, 0.3872337246959537, 0.3504182237811097, 0.38847343451379523]
[-0.13602209571526014, -0.13602209571526014, 0.17619058248431071, 0.077748449771429, 0.2948846787962593, 0.25661426428471534, 0.36328700960587046, 0.3268148944318571, 0.381102751312055]
[-0.10752797013636972, -0.10752797013636972, 0.17619058248431071, 0.08322559937088103, 0.2948846787962593, 0.2796312402641537, 0.36730790186604856, 0.33651399402077775, 0.3851236435722331]
[-0.1661369284978373, -0.1661369284978373, 0.1726987214757187, 0.05996383811090984, 0.28682482339987314, 0.246340599835937, 0.34567927341083304, 0.32136084851419494, 0.3642263156985251]
